# Id,Values
217,4.383
218,2.181
219,4.426
220,3.430
221,4.448
222,2.774
223,5.604
224,3.762
225,4.895
226,5.931
227,4.903
228,5.992
229,4.550
230,6.397
231,4.615
232,5.992
233,5.858
234,4.404
235,4.094
236,4.671
237,3.430
238,3.762
239,5.027
240,3.207
241,4.326
242,3.539
243,3.762
244,4.229
245,6.051
246,5.596
247,4.209
248,5.149
249,4.324
250,4.426
251,3.207
252,5.062
253,4.166
254,4.218
255,5.049
256,4.546
257,2.463
258,4.116
259,2.274
260,3.430
261,4.541
262,5.858
263,4.939
264,2.376
265,3.632
266,5.062
267,4.094
268,5.162
269,3.664
270,4.318
271,3.762
272,4.296
273,2.420
274,5.105
275,4.882
276,5.350
277,5.166
278,4.470
279,4.650
280,4.072
281,4.448
282,4.786
283,3.654
284,3.762
285,4.895
286,3.185
287,4.917
288,4.209
289,4.939
290,3.762
291,5.216
292,5.337
293,4.209
294,5.712
295,3.408
296,4.470
297,4.636
298,4.437
299,5.539
300,4.448
301,2.644
302,4.470
303,5.403
304,4.138
305,4.873
306,3.774
307,4.007
308,5.127
309,4.072
310,3.762
311,4.895
312,3.517
313,4.426
314,3.828
315,4.037
316,2.557
317,4.404
318,4.882
319,4.116
320,4.715
321,5.350
322,4.007
323,4.650
324,5.858
325,5.403
326,3.221
327,6.244
328,6.106
329,4.203
330,5.097
331,5.771
332,4.739
333,4.903
334,4.903
335,4.650
336,4.283
337,3.185
338,3.250
339,4.563
340,5.337
341,1.778
342,3.784
343,5.484
344,3.308
345,4.318
346,3.539
347,4.895
348,4.492
349,3.632
350,4.671
351,4.593
352,4.166
353,6.073
354,5.403
355,2.044
356,5.140
357,4.469
358,5.394
359,2.290
360,4.903
361,3.828
362,3.654
363,4.094
364,3.567
365,5.641
366,4.895
367,3.185
368,3.979
369,1.193
370,4.318
371,5.229
372,5.071
373,4.318
374,5.018
375,4.571
376,5.149
377,3.632
378,4.160
379,5.027
380,4.873
381,2.197
382,3.207
383,4.094
384,4.160
385,4.224
386,4.229
387,5.381
388,4.947
389,4.383
390,3.638
391,4.448
392,4.781
393,4.671
394,5.315
395,4.448
396,5.027
397,4.407
398,4.563
399,4.426
400,4.925
401,3.185
402,4.296
403,2.221
404,4.695
405,3.207
406,4.426
407,4.715
408,4.218
409,3.185
410,3.539
411,3.762
412,4.470
413,4.404
414,4.785
415,4.993
416,5.772
417,5.118
418,3.986
419,4.426
420,4.448
421,5.359
422,5.713
423,3.098
424,4.404
425,4.448
426,4.563
427,4.426
428,3.762
429,4.827
430,4.009
431,2.853
432,3.871
433,3.994
434,5.596
435,4.116
436,5.227
437,5.494
438,3.740
439,4.181
440,5.626
441,4.947
442,4.448
443,4.072
444,6.456
445,5.734
446,5.793
447,4.903
448,4.463
449,2.873
450,6.305
451,5.049
452,4.072
453,5.552
454,5.254
455,5.075
456,3.539
457,4.628
458,3.207
459,4.060
460,3.185
461,4.138
462,5.359
463,4.903
464,5.539
465,4.160
466,4.218
467,5.344
468,1.489
469,5.011
470,4.507
471,4.550
472,6.689
473,3.185
474,4.426
475,1.723
476,3.871
477,3.517
478,3.158
479,2.044
480,4.686
481,3.774
482,6.305
483,4.339
484,1.778
485,4.947
486,4.426
487,5.350
488,5.858
489,5.048
490,3.762
491,4.671
492,3.740
493,4.895
494,4.052
495,4.615
496,3.986
497,4.448
498,4.851
499,3.871
500,2.600
501,4.773
502,3.762
503,4.094
504,5.451
505,4.470
506,4.882
507,4.939
508,5.949
509,3.545
510,4.383
511,3.675
512,4.470
513,3.185
514,4.239
515,4.072
516,3.430
517,4.736
518,4.702
519,3.762
520,5.381
521,3.496
522,4.563
523,4.903
524,4.607
525,4.072
526,4.947
527,5.215
528,3.469
529,4.160
530,4.882
531,3.740
532,4.448
533,4.448
534,4.550
535,3.537
536,4.550
537,4.426
538,2.068
539,3.430
540,4.948
541,1.712
542,2.225
543,4.693
544,5.539
545,4.426
546,4.795
547,3.430
548,5.097
549,4.239
550,4.318
551,3.762
552,4.673
553,3.496
554,3.064
555,3.207
556,5.626
557,3.185
558,4.144
559,4.079
560,2.578
561,4.426
562,5.596
563,3.762
564,6.378
565,3.675
566,6.073
567,4.072
568,4.224
569,4.209
570,2.668
571,5.858
572,5.381
573,4.404
574,4.339
575,4.318
576,4.096
577,6.305
578,4.671
579,3.272
580,6.308
581,5.337
582,3.899
583,3.221
584,3.784
585,2.442
586,5.075
587,3.762
588,4.318
589,4.882
590,3.719
591,4.224
592,4.795
593,4.181
594,4.203
595,4.550
596,3.740
597,6.680
598,4.917
599,1.672
600,4.873
601,5.359
602,4.470
603,1.225
604,4.404
605,3.430
606,3.871
607,3.871
608,4.072
609,4.118
610,4.116
611,4.492
612,3.740
613,3.762
614,4.873
615,4.448
616,3.076
617,5.105
618,4.671
619,4.947
620,4.546
621,4.426
622,5.858
623,5.071
624,4.116
625,4.851
626,2.449
627,5.381
628,5.596
629,4.983
630,4.116
631,5.394
632,5.018
633,5.140
634,4.448
635,3.849
636,4.166
637,4.903
638,4.094
639,3.052
640,6.553
641,5.235
642,2.774
643,5.561
644,4.858
645,4.029
646,3.408
647,4.895
648,3.762
649,3.834
650,4.792
651,4.404
652,3.452
653,5.359
654,4.116
655,4.895
656,5.806
657,4.181
658,4.947
659,6.225
660,4.404
661,6.051
662,5.403
663,5.049
664,3.474
665,4.094
666,4.571
667,4.448
668,5.256
669,4.348
670,3.886
671,5.552
672,5.596
673,4.895
674,5.005
675,5.127
676,4.658
677,4.470
678,4.426
679,3.662
680,4.476
681,4.072
682,5.626
683,3.430
684,6.106
685,4.903
686,5.225
687,4.925
688,1.359
689,3.668
690,1.223
691,2.225
692,3.907
693,4.650
694,4.658
695,5.114
696,3.877
697,3.762
698,4.882
699,3.747
700,3.728
701,4.917
702,4.983
703,5.071
704,4.329
705,4.693
706,4.448
707,5.118
708,5.049
709,5.127
710,4.318
711,4.975
712,5.518
713,3.762
714,4.296
715,4.485
716,4.628
717,4.528
718,4.231
719,2.387
720,2.420
721,4.888
722,5.149
723,4.671
724,4.326
725,4.094
726,4.433
727,3.986
728,4.686
729,2.276
730,4.903
731,3.762
732,1.225
733,3.774
734,6.305
735,5.353
736,5.329
737,4.873
738,4.094
739,4.426
740,5.530
741,5.958
742,4.593
743,6.051
744,5.097
745,5.171
746,5.360
747,1.987
748,6.073
749,3.113
750,4.571
751,4.903
752,4.404
753,5.582
754,3.640
755,4.072
756,3.207
757,3.762
758,4.967
759,4.671
760,4.470
761,4.209
762,2.875
763,4.038
764,5.458
765,4.671
766,5.850
767,5.220
768,4.671
769,3.871
770,3.719
771,4.541
772,3.762
773,4.404
774,4.686
775,4.426
776,4.895
777,3.762
778,3.762
779,4.758
780,3.430
781,4.903
782,4.765
783,5.032
784,4.903
785,3.782
786,3.654
787,5.394
788,4.116
789,4.426
790,4.903
791,4.528
792,5.381
793,3.517
794,3.185
795,3.762
796,4.895
797,4.404
798,4.072
799,4.519
800,3.474
801,5.342
802,6.240
803,4.769
804,4.318
805,3.662
806,4.203
807,4.947
808,4.116
809,4.079
810,3.849
811,4.116
812,4.628
813,4.116
814,3.762
815,3.662
816,5.097
817,4.563
818,4.426
819,4.665
820,4.982
821,5.523
822,4.383
823,4.426
824,4.094
825,3.207
826,5.315
827,4.261
828,3.871
829,4.671
830,4.318
831,5.725
832,6.051
833,5.858
834,2.723
835,2.622
836,4.528
837,3.408
838,4.318
839,4.319
840,3.408
841,4.650
842,3.654
843,4.160
844,3.523
845,4.839
846,7.055
847,5.360
848,2.387
849,4.072
850,2.557
851,3.719
852,4.426
853,5.350
854,3.877
855,3.217
856,3.762
857,5.782
858,4.304
859,1.778
860,4.116
861,4.600
862,4.671
863,4.231
864,4.072
865,4.492
866,5.086
867,3.207
868,4.426
869,4.882
870,5.718
871,4.411
872,4.873
873,3.429
874,3.539
875,4.967
876,4.426
877,4.153
878,4.470
879,3.886
880,4.470
881,3.185
882,3.539
883,4.882
884,5.083
885,4.094
886,5.002
887,4.087
888,3.217
889,3.929
890,5.747
891,5.403
892,4.404
893,4.448
894,4.214
895,4.116
896,4.426
897,5.105
898,4.094
899,4.116
900,5.394
901,4.196
902,6.029
903,3.228
904,4.339
905,3.762
906,4.231
907,4.528
908,4.094
909,5.127
910,2.853
911,4.448
912,4.693
913,3.762
914,4.028
915,3.272
916,4.947
917,3.964
918,4.326
919,5.294
920,6.128
921,3.762
922,4.426
923,2.219
924,6.557
925,5.618
926,4.448
927,4.895
928,5.626
929,5.359
930,4.851
931,3.986
932,4.209
933,5.359
934,5.719
935,4.318
936,5.027
937,5.105
938,4.094
939,3.774
940,4.448
941,4.817
942,4.650
943,5.755
944,4.448
945,6.038
946,4.015
947,4.693
948,5.097
949,4.454
950,3.517
951,4.774
952,4.650
953,5.114
954,4.982
955,3.862
956,3.774
957,5.596
958,5.858
959,5.217
960,4.426
961,2.730
962,5.105
963,5.359
964,5.149
965,5.140
966,4.650
967,2.225
968,5.127
969,4.072
970,4.181
971,2.853
972,4.181
973,2.983
974,3.654
975,3.697
976,3.762
977,4.426
978,4.160
979,4.448
980,4.903
981,4.326
982,3.740
983,3.762
984,2.715
985,6.261
986,4.520
987,3.719
988,6.106
989,4.326
990,4.318
991,6.305
992,3.849
993,5.806
994,4.426
995,6.680
996,3.994
997,4.224
998,4.693
999,4.470
1000,4.448
1001,4.196
1002,5.445
1003,4.318
1004,3.719
1005,5.162
1006,5.437
1007,4.082
1008,5.131
1009,4.426
1010,4.239
1011,3.654
1012,5.403
1013,1.691
1014,4.903
1015,3.828
1016,4.895
1017,4.448
1018,4.225
1019,2.851
1020,4.600
1021,5.250
1022,3.762
1023,3.228
1024,5.769
1025,4.218
1026,4.426
1027,3.828
1028,3.496
1029,4.448
1030,4.751
1031,4.671
1032,3.964
1033,3.523
1034,5.359
1035,4.967
1036,4.318
1037,6.546
1038,1.489
1039,3.582
1040,4.780
1041,4.426
1042,4.448
1043,4.404
1044,4.187
1045,3.806
1046,3.624
1047,3.784
1048,5.149
1049,5.005
1050,2.778
1051,3.828
1052,4.448
1053,4.404
1054,4.072
1055,4.492
1056,3.185
1057,5.140
1058,4.693
1059,3.207
1060,5.596
1061,4.882
1062,2.170
1063,5.097
1064,3.675
1065,4.925
1066,2.405
1067,6.073
1068,5.769
1069,4.239
1070,2.442
1071,4.693
1072,4.650
1073,6.106
1074,5.718
1075,3.862
1076,6.608
1077,3.430
1078,4.094
1079,4.072
1080,6.001
1081,3.784
1082,4.773
1083,4.209
1084,4.671
1085,3.076
1086,4.196
1087,5.162
1088,4.196
1089,4.072
1090,3.185
1091,4.448
1092,4.448
1093,4.448
1094,3.560
1095,4.860
1096,4.181
1097,4.079
1098,4.426
1099,4.903
1100,2.420
1101,3.774
1102,5.127
1103,4.404
1104,3.762
1105,4.650
1106,4.450
1107,3.560
1108,3.664
1109,3.762
1110,2.276
1111,4.348
1112,4.029
1113,2.159
1114,4.426
1115,3.762
1116,5.083
1117,5.381
1118,4.925
1119,4.051
1120,4.426
1121,5.127
1122,3.185
1123,4.882
1124,5.858
1125,2.778
1126,5.359
1127,5.381
1128,3.430
1129,5.098
1130,4.967
1131,4.650
1132,4.492
1133,4.072
1134,4.116
1135,4.858
1136,3.408
1137,3.719
1138,4.982
1139,4.426
1140,4.470
1141,5.027
1142,7.055
1143,4.689
1144,4.650
1145,4.628
1146,3.567
1147,3.272
1148,5.359
1149,4.209
1150,5.858
1151,3.774
1152,3.740
1153,4.873
1154,4.925
1155,4.181
1156,3.740
1157,4.650
1158,4.469
1159,5.179
1160,5.376
1161,4.160
1162,5.713
1163,5.626
1164,4.528
1165,5.308
1166,4.072
1167,4.693
1168,3.221
1169,5.075
1170,4.426
1171,4.773
1172,4.695
1173,3.740
1174,5.596
1175,4.072
1176,3.762
1177,4.318
1178,4.939
1179,5.153
1180,4.052
1181,5.878
1182,4.563
1183,4.947
1184,5.806
1185,4.072
1186,4.426
1187,4.448
1188,3.740
1189,5.858
1190,3.762
1191,4.671
1192,5.526
1193,5.071
1194,3.019
1195,5.858
1196,5.604
1197,4.628
1198,4.884
1199,3.654
1200,3.849
1201,6.305
1202,3.170
1203,4.116
1204,3.207
1205,4.792
1206,4.426
1207,2.420
1208,3.762
1209,4.795
1210,5.227
1211,4.895
1212,5.858
1213,4.094
1214,5.149
1215,3.675
1216,4.261
1217,3.719
1218,3.654
1219,4.448
1220,5.307
1221,3.161
1222,4.824
1223,5.381
1224,5.682
1225,4.448
1226,4.448
1227,4.882
1228,5.858
1229,3.762
1230,4.884
1231,4.903
1232,3.806
1233,3.640
1234,5.823
1235,5.596
1236,4.318
1237,2.774
1238,4.072
1239,5.308
1240,3.828
1241,3.774
1242,3.675
1243,5.596
1244,4.007
1245,4.895
1246,5.769
1247,4.318
1248,5.626
1249,3.964
1250,4.925
1251,3.762
1252,3.762
1253,2.889
1254,5.682
1255,3.784
1256,3.632
1257,2.720
1258,4.283
1259,4.448
1260,3.762
1261,4.077
1262,2.845
1263,4.085
1264,3.994
1265,2.823
1266,3.185
1267,4.094
1268,4.470
1269,5.686
1270,4.007
1271,3.185
1272,5.097
1273,5.502
1274,3.408
1275,3.784
1276,4.895
1277,4.658
1278,4.426
1279,4.094
1280,4.072
1281,5.329
1282,4.673
1283,4.218
1284,3.185
1285,5.149
1286,6.557
1287,4.404
1288,4.541
1289,5.162
1290,3.986
1291,2.442
1292,3.496
1293,6.051
1294,4.671
1295,5.494
1296,4.873
1297,4.426
1298,4.654
1299,5.049
1300,3.871
1301,4.448
1302,3.871
1303,4.007
1304,4.715
1305,5.020
1306,5.149
1307,4.426
1308,2.442
1309,6.412
1310,3.076
1311,4.448
1312,5.105
1313,4.339
1314,4.426
1315,4.925
1316,4.571
1317,4.650
1318,4.138
1319,4.470
1320,4.903
1321,4.903
1322,4.658
1323,3.762
1324,3.408
1325,4.339
1326,3.882
1327,4.492
1328,5.572
1329,5.278
1330,3.719
1331,4.448
1332,4.072
1333,3.719
1334,4.246
1335,2.470
1336,5.337
1337,4.072
1338,4.492
1339,4.304
1340,4.658
1341,2.044
1342,4.230
1343,5.027
1344,3.740
1345,6.305
1346,4.404
1347,3.806
1348,4.094
1349,5.027
1350,3.183
1351,4.895
1352,6.008
1353,4.615
1354,3.828
1355,4.563
1356,4.650
1357,3.221
1358,2.944
1359,4.492
1360,3.408
1361,2.976
1362,4.947
1363,3.784
1364,4.773
1365,2.398
1366,4.426
1367,5.604
1368,4.671
1369,5.381
1370,6.305
1371,3.664
1372,4.131
1373,6.529
1374,5.308
1375,4.094
1376,3.828
1377,4.426
1378,3.762
1379,5.372
1380,4.715
1381,4.730
1382,5.574
1383,3.997
1384,4.426
1385,4.072
1386,5.360
1387,3.430
1388,4.404
1389,4.913
1390,4.094
1391,4.426
1392,3.185
1393,2.687
1394,5.741
1395,4.224
1396,4.593
1397,4.094
1398,5.618
1399,3.624
1400,5.105
1401,2.297
1402,5.372
1403,5.403
1404,4.426
1405,1.691
1406,4.671
1407,3.849
1408,5.350
1409,4.593
1410,6.051
1411,5.626
1412,5.075
1413,4.448
1414,4.658
1415,3.539
1416,4.329
1417,4.730
1418,2.485
1419,4.218
1420,4.448
1421,6.051
1422,2.442
1423,4.426
1424,4.947
1425,4.181
1426,3.654
1427,5.458
1428,4.895
1429,4.773
1430,3.740
1431,5.858
1432,4.072
1433,4.426
1434,4.094
1435,3.185
1436,6.192
1437,4.318
1438,0.914
1439,4.072
1440,5.194
1441,4.448
1442,4.693
1443,4.296
1444,3.719
1445,5.445
1446,3.916
1447,4.492
1448,4.094
1449,3.654
1450,5.350
1451,5.162
1452,4.895
1453,2.834
1454,3.608
1455,6.305
1456,4.426
1457,5.878
1458,3.773
1459,5.502
1460,4.650
1461,3.408
1462,4.673
1463,5.769
1464,5.373
1465,3.539
1466,5.626
1467,4.888
1468,5.403
1469,4.094
1470,5.359
1471,6.202
1472,4.454
1473,5.904
1474,2.853
1475,4.671
1476,1.332
1477,5.414
1478,4.982
1479,4.470
1480,3.654
1481,3.091
1482,4.426
1483,4.873
1484,5.561
1485,5.403
1486,2.723
1487,4.882
1488,5.596
1489,4.786
1490,4.585
1491,4.094
1492,1.225
1493,2.723
1494,4.925
1495,6.460
1496,5.858
1497,6.305
1498,5.071
1499,4.550
1500,2.290
1501,3.871
1502,5.403
1503,3.937
1504,4.550
1505,5.582
1506,4.889
1507,3.849
1508,5.083
1509,4.318
1510,4.470
1511,3.430
1512,4.895
1513,5.381
1514,5.098
1515,5.118
1516,5.741
1517,4.903
1518,5.618
1519,4.947
1520,6.305
1521,5.604
1522,4.824
1523,4.939
1524,4.895
1525,4.817
1526,4.671
1527,5.878
1528,5.539
1529,3.907
1530,4.466
1531,1.936
1532,3.828
1533,4.426
1534,4.426
1535,3.207
1536,6.305
1537,3.668
1538,4.052
1539,4.650
1540,4.448
1541,3.221
1542,4.873
1543,5.596
1544,6.008
1545,5.858
1546,4.016
1547,4.094
1548,3.185
1549,5.596
1550,4.426
1551,3.091
1552,5.118
1553,4.628
1554,4.426
1555,4.339
1556,2.334
1557,5.350
1558,4.085
1559,2.221
1560,4.094
1561,4.563
1562,5.403
1563,4.072
1564,4.593
1565,4.116
1566,3.828
1567,4.094
1568,3.662
1569,3.740
1570,3.158
1571,4.218
1572,4.680
1573,5.841
1574,1.561
1575,4.326
1576,5.315
1577,5.359
1578,3.168
1579,3.762
1580,6.181
1581,3.762
1582,4.341
1583,4.463
1584,2.189
1585,4.492
1586,3.719
1587,3.871
1588,4.283
1589,5.075
1590,4.339
1591,5.654
1592,4.015
1593,3.951
1594,4.650
1595,4.724
1596,5.149
1597,3.762
1598,3.430
1599,2.276
1600,4.203
1601,5.162
1602,4.094
1603,4.967
1604,5.381
1605,5.162
1606,4.094
1607,4.707
1608,4.326
1609,6.279
1610,5.272
1611,4.411
1612,4.283
1613,4.072
1614,4.426
1615,5.403
1616,4.729
1617,4.628
1618,2.276
1619,5.322
1620,5.329
1621,4.498
1622,5.359
1623,3.272
1624,3.719
1625,3.697
1626,3.828
1627,3.668
1628,4.203
1629,3.862
1630,6.224
1631,3.632
1632,4.671
1633,5.858
1634,5.626
1635,4.339
1636,3.719
1637,4.997
1638,4.116
1639,3.185
1640,5.283
1641,4.181
1642,4.903
1643,4.028
1644,4.571
1645,4.218
1646,4.339
1647,5.083
1648,3.664
1649,3.662
1650,3.762
1651,3.664
1652,4.671
1653,3.517
1654,4.112
1655,3.185
1656,5.005
1657,3.784
1658,3.762
1659,3.719
1660,4.116
1661,5.360
1662,4.895
1663,4.903
1664,4.094
1665,4.072
1666,4.650
1667,4.426
1668,2.823
1669,4.426
1670,4.426
1671,4.187
1672,4.775
1673,4.426
1674,4.895
1675,2.944
1676,4.466
1677,5.118
1678,5.105
1679,3.762
1680,5.337
1681,2.998
1682,4.187
1683,5.127
1684,5.256
1685,4.007
1686,4.324
1687,3.632
1688,3.179
1689,5.027
1690,4.650
1691,5.814
1692,4.239
1693,4.888
1694,4.895
1695,3.382
1696,4.895
1697,5.359
1698,4.882
1699,3.986
1700,4.873
1701,3.452
1702,4.895
1703,4.218
1704,4.072
1705,1.225
1706,2.723
1707,4.673
1708,4.658
1709,4.492
1710,3.945
1711,3.762
1712,5.394
1713,2.376
1714,2.442
1715,5.315
1716,3.452
1717,5.271
1718,5.097
1719,4.181
1720,3.916
1721,5.105
1722,6.444
1723,4.318
1724,6.051
1725,4.094
1726,5.381
1727,4.181
1728,2.385
1729,4.550
1730,4.860
1731,6.008
1732,3.560
1733,2.774
1734,4.693
1735,4.571
1736,4.715
1737,4.773
1738,4.339
1739,4.448
1740,4.541
1741,1.380
1742,4.895
1743,3.762
1744,6.240
1745,3.539
1746,4.160
1747,3.740
1748,4.765
1749,5.953
1750,3.986
1751,4.715
1752,3.640
1753,3.762
1754,2.502
1755,3.784
1756,3.916
1757,2.420
1758,4.650
1759,3.330
1760,5.394
1761,5.136
1762,3.762
1763,4.882
1764,4.404
1765,4.072
1766,5.179
1767,2.398
1768,6.305
1769,2.774
1770,4.507
1771,4.138
1772,4.094
1773,4.296
1774,4.569
1775,3.430
1776,3.654
1777,7.013
1778,4.203
1779,3.828
1780,3.430
1781,5.386
1782,3.740
1783,5.703
1784,3.828
1785,4.571
1786,3.962
1787,4.715
1788,3.632
1789,4.094
1790,4.383
1791,3.740
1792,4.882
1793,3.207
1794,1.838
1795,4.094
1796,4.671
1797,4.650
1798,4.138
1799,4.426
1800,4.296
1801,3.740
1802,4.426
1803,4.702
1804,4.094
1805,4.426
1806,5.403
1807,3.719
1808,5.071
1809,4.318
1810,4.673
1811,5.207
1812,4.895
1813,4.239
1814,2.551
1815,4.873
1816,6.789
1817,3.550
1818,3.654
1819,2.159
1820,2.221
1821,3.968
1822,5.359
1823,5.350
1824,4.903
1825,5.828
1826,3.272
1827,4.903
1828,3.408
1829,4.072
1830,4.404
1831,5.105
1832,5.381
1833,5.530
1834,4.702
1835,4.519
1836,3.871
1837,3.667
1838,3.559
1839,5.582
1840,5.140
1841,4.181
1842,4.882
1843,4.101
1844,4.160
1845,4.903
1846,4.903
1847,4.224
1848,4.271
1849,4.795
1850,5.806
1851,4.448
1852,4.882
1853,5.049
1854,4.830
1855,4.541
1856,3.762
1857,4.094
1858,5.198
1859,4.650
1860,4.116
1861,5.097
1862,4.715
1863,6.261
1864,4.426
1865,4.094
1866,4.492
1867,3.539
1868,4.795
1869,3.796
1870,5.726
1871,4.903
1872,5.179
1873,4.882
1874,4.361
1875,4.903
1876,5.149
1877,5.337
1878,4.094
1879,4.496
1880,3.986
1881,3.113
1882,3.430
1883,3.740
1884,3.228
1885,5.097
1886,5.307
1887,4.261
1888,3.408
1889,3.539
1890,3.762
1891,6.297
1892,4.571
1893,4.028
1894,5.307
1895,4.426
1896,3.632
1897,3.430
1898,4.671
1899,5.049
1900,4.181
1901,3.986
1902,3.430
1903,4.903
1904,5.350
1905,3.882
1906,4.404
1907,3.762
1908,4.239
1909,4.318
1910,3.740
1911,4.448
1912,4.918
1913,5.858
1914,4.426
1915,3.221
1916,5.142
1917,4.094
1918,2.845
1919,4.426
1920,4.448
1921,2.823
1922,4.650
1923,4.947
1924,3.408
1925,3.098
1926,4.895
1927,5.403
1928,3.762
1929,5.149
1930,4.296
1931,5.018
1932,5.105
1933,4.903
1934,5.596
1935,4.072
1936,4.072
1937,4.925
1938,3.762
1939,4.072
1940,3.058
1941,5.149
1942,5.725
1943,4.038
1944,5.118
1945,4.094
1946,4.426
1947,3.864
1948,5.887
1949,3.539
1950,4.600
1951,3.272
1952,4.571
1953,3.207
1954,4.448
1955,4.895
1956,4.318
1957,3.762
1958,5.626
1959,5.118
1960,7.022
1961,3.430
1962,2.774
1963,4.122
1964,4.082
1965,5.118
1966,4.693
1967,4.492
1968,5.135
1969,4.366
1970,4.650
1971,4.693
1972,4.109
1973,4.105
1974,4.947
1975,5.626
1976,4.426
1977,3.883
1978,5.814
1979,6.305
1980,4.209
1981,4.651
1982,3.640
1983,5.596
1984,4.925
1985,4.448
1986,4.492
1987,4.895
1988,5.681
1989,3.430
1990,5.207
1991,1.936
1992,3.582
1993,4.218
1994,5.418
1995,2.110
1996,3.762
1997,5.504
1998,4.404
1999,4.404
2000,4.715
2001,4.947
2002,3.430
2003,3.730
2004,5.054
2005,6.190
2006,4.671
2007,3.762
2008,5.256
2009,4.462
2010,3.849
2011,4.181
2012,4.094
2013,4.543
2014,5.214
2015,4.982
2016,3.343
2017,4.571
2018,5.127
2019,4.550
2020,4.426
2021,6.305
2022,4.094
2023,4.419
2024,4.072
2025,3.762
2026,4.786
2027,4.426
2028,5.049
2029,4.426
2030,4.925
2031,5.360
2032,3.654
2033,3.964
2034,4.296
2035,6.073
2036,5.858
2037,5.027
2038,2.442
2039,3.539
2040,3.762
2041,1.467
2042,5.979
2043,5.136
2044,5.703
2045,4.571
2046,4.116
2047,5.337
2048,5.018
2049,5.858
2050,3.654
2051,4.433
2052,5.502
2053,3.740
2054,5.626
2055,4.448
2056,4.882
2057,4.903
2058,3.849
2059,5.005
2060,4.448
2061,3.719
2062,4.072
2063,4.072
2064,4.094
2065,5.218
2066,4.448
2067,5.626
2068,4.947
2069,5.140
2070,3.740
2071,5.526
2072,4.426
2073,5.207
2074,4.072
2075,3.155
2076,3.706
2077,4.561
2078,5.097
2079,3.892
2080,4.022
2081,4.426
2082,3.871
2083,5.271
2084,4.187
2085,4.903
2086,4.925
2087,6.051
2088,3.806
2089,5.458
2090,4.426
2091,2.420
2092,3.913
2093,4.209
2094,4.492
2095,4.546
2096,3.098
2097,5.256
2098,4.903
2099,4.404
2100,5.769
2101,5.279
2102,4.072
2103,5.118
2104,5.086
2105,4.773
2106,3.871
2107,4.094
2108,5.337
2109,2.232
2110,4.116
2111,4.895
2112,3.762
2113,3.784
2114,5.127
2115,4.072
2116,4.947
2117,4.650
2118,4.296
2119,4.947
2120,3.784
2121,3.740
2122,4.094
2123,4.426
2124,2.442
2125,2.225
2126,4.426
2127,3.430
2128,6.444
2129,3.886
2130,3.675
2131,4.426
2132,6.305
2133,4.550
2134,4.925
2135,4.903
2136,4.318
2137,3.684
2138,5.403
2139,4.693
2140,3.762
